event_id,user_id,event_type,event_date,channel,duration_sec,session_id
EVT00099,USR0089,Download,20251005,API,2809,SES5565
EVT00100,USR0181,Download,20240531,Web,1029,SES4908
EVT00101,USR0141,Logout,2025-02-09T00:00:00,Direct,3357,SES4823
EVT00102,USR0176,Form Submit,Sep 30 2024,Direct,,SES2232
EVT00103,USR0008,Purchase,2024-08-22,Direct,2027,SES7197
EVT00104,USR0060,Download,Jun 07 2024,Mobile App,2100,SES1235
EVT00105,USR0033,Search,02-19-25,Partner,1018,SES4317
EVT00106,USR0038,Download,09-Nov-2023,Partner,,SES6527
EVT00107,USR0038,Session Start,Apr 09 2024,Web,1146,SES1623
EVT00108,USR0108,Login,Jul 11 2024,Mobile App,3586,SES9698
EVT00109,USR0112,Password Reset,23-Mar-2023,API,2466,SES1210
EVT00110,USR0077,Error,11/14/2023,Partner,2140,SES8259
EVT00111,USR0131,Page View,22-Apr-2023,Web,2479,SES3352
EVT00112,USR0110,Session Start,23/03/2024,Direct,2639,SES2976
EVT00113,USR0182,Error,01-17-25,Mobile App,1721,SES7297
EVT00114,USR0069,Session End,11/11/2023,Mobile App,3297,SES7002
EVT00115,USR0025,Logout,20250831,Direct,798,SES3361
EVT00116,USR0060,Logout,20240607,API,1434,SES4224
EVT00117,USR0108,Form Submit,02-28-23,Web,,SES3009
EVT00118,USR0057,Session End,"October 30, 2025",Web,2986,SES2639
EVT00119,USR0038,Session End,2023-11-26,API,2598,SES6962
EVT00120,USR0067,Session Start,Jul 12 2025,Email,2952,SES5858
EVT00121,USR0165,Session Start,05-04-24,API,987,SES5427
EVT00122,USR0094,Session Start,10/01/2025,API,2635,SES5066
EVT00123,USR0008,Purchase,10/19/2024,Mobile App,2833,SES5546
EVT00124,USR0055,Page View,06/12/2025,Partner,2576,SES3964
EVT00125,USR0007,Search,20231122,API,,SES7208
EVT00126,USR0090,Download,2024-10-21,Direct,1791,SES1431
EVT00127,USR0170,Download,2023-07-04T00:00:00,Mobile App,,SES7486
EVT00128,USR0108,Page View,May 15 2024,Email,715,SES9434
EVT00129,USR0003,Login,07/09/2023,Direct,1945,SES9701
EVT00130,USR0024,Form Submit,05-Dec-2025,Email,2835,SES8611
EVT00131,USR0034,Login,"November 20, 2024",Direct,,SES2456
EVT00132,USR0041,Profile Update,Feb 27 2025,Email,2705,SES2036
EVT00133,USR0085,Download,04-Jun-2023,Email,348,SES3595
EVT00134,USR0075,Download,26/04/2025,Partner,2392,SES4008
EVT00135,USR0084,Session Start,04/04/2025,Email,,SES9307
EVT00136,USR0194,Session Start,"November 08, 2023",Email,574,SES9589
EVT00137,USR0139,Form Submit,2025-03-04,Direct,959,SES2833
EVT00138,USR0177,Page View,12-06-24,Partner,1077,SES4274
EVT00139,USR0037,Error,14/06/2024,Direct,2498,SES4363
EVT00140,USR0058,Form Submit,Apr 16 2025,Mobile App,43,SES5737
EVT00141,USR0118,Password Reset,2023-08-14,Partner,1164,SES3069
EVT00142,USR0007,Form Submit,26/06/2025,Partner,441,SES5532
EVT00143,USR0164,Logout,2025-03-16T00:00:00,Partner,255,SES4090
EVT00144,USR0160,Page View,20230120,Email,2837,SES7184
EVT00145,USR0054,Purchase,Jul 10 2023,Direct,,SES1354
EVT00146,USR0156,Session Start,30-Oct-2024,Mobile App,1492,SES1988
EVT00147,USR0141,Session End,02-Sep-2025,Web,3151,SES9825
EVT00148,USR0086,Password Reset,05-May-2023,Direct,3043,SES8630
EVT00149,USR0012,Session End,01-27-24,Direct,,SES2064
EVT00150,USR0146,Form Submit,Mar 02 2024,Direct,2389,SES6302
EVT00151,USR0054,Logout,04-Apr-2023,Web,2471,SES9991
EVT00152,USR0061,Download,Sep 20 2025,Partner,3283,SES9161
EVT00153,USR0171,Password Reset,10-09-23,Direct,3579,SES3302
EVT00154,USR0004,Search,2025-01-18,Web,,SES7806
EVT00155,USR0012,Login,20240811,Partner,724,SES3733
EVT00156,USR0116,Login,10/03/2023,Email,2068,SES5687
EVT00157,USR0057,Page View,2025-01-31,Email,3597,SES6329
EVT00158,USR0094,Download,05/09/2024,Mobile App,,SES7102
EVT00159,USR0196,Password Reset,2025-03-03,API,1800,SES4903
EVT00160,USR0031,Login,12-30-23,Email,2983,SES6007
EVT00161,USR0184,Form Submit,2024-07-16,Direct,2364,SES6083
EVT00162,USR0198,Purchase,12/03/2024,Direct,1067,SES7849
EVT00163,USR0059,Purchase,06/28/2025,API,2081,SES6075
EVT00164,USR0074,Login,21/05/2024,API,2758,SES4935
EVT00165,USR0198,Purchase,2025-04-10,API,2248,SES6757
EVT00166,USR0040,Session Start,2024-04-11,Direct,2505,SES9612
EVT00167,USR0105,Download,11-09-24,API,1699,SES1123
EVT00168,USR0094,Download,11-11-24,Direct,2835,SES3629
EVT00169,USR0102,Profile Update,2025-11-20T00:00:00,Mobile App,3520,SES4677
EVT00170,USR0195,Login,20240520,Web,1602,SES9660
EVT00171,USR0082,Profile Update,Mar 05 2024,Mobile App,2632,SES3159
EVT00172,USR0062,Purchase,20230131,API,2458,SES9327
EVT00173,USR0042,Search,"August 05, 2025",Direct,,SES5209
EVT00174,USR0110,Error,25/25/25,Web,136,SES1192
EVT00175,USR0174,Search,03/13/2025,Mobile App,2044,SES8922
EVT00176,USR0016,Login,2024-10-20,API,,SES8483
EVT00177,USR0192,Error,20241203,Mobile App,2385,SES9629
EVT00178,USR0163,Error,22-Jun-2023,Mobile App,588,SES5752
EVT00179,USR0100,Login,03/03/2024,Direct,1180,SES9716
EVT00180,USR0028,Login,13-Jun-2025,Partner,1412,SES3508
EVT00181,USR0008,Purchase,2023-10-13,Email,778,SES8138
EVT00182,USR0092,Form Submit,20250327,Web,2532,SES8968
EVT00183,USR0131,Form Submit,07-17-25,Email,2668,SES1693
EVT00184,USR0170,Password Reset,2025-03-07T00:00:00,Web,853,SES9142
EVT00185,USR0023,Logout,29-Mar-2024,Partner,539,SES7214
EVT00186,USR0015,Form Submit,10/07/2023,Web,2114,SES5407
EVT00187,USR0171,Purchase,Jul 17 2023,Mobile App,1146,SES6672
EVT00188,USR0093,Password Reset,02-07-25,Direct,366,SES5871
EVT00189,USR0187,Search,2023-06-07T00:00:00,Direct,1949,SES5457
EVT00190,USR0065,Form Submit,02/14/2023,Email,2037,SES8385
EVT00191,USR0057,Session End,03-31-25,Direct,176,SES8897
EVT00192,USR0007,Form Submit,12/08/2024,Partner,543,SES4480
EVT00193,USR0177,Download,"June 03, 2023",Direct,794,SES7899
EVT00194,USR0093,Session End,07-20-25,Email,3112,SES4046
EVT00195,USR0171,Form Submit,"August 27, 2025",Direct,198,SES9513
EVT00196,USR0099,Page View,07/22/2024,Mobile App,1785,SES1760
EVT00197,USR0035,Page View,20251106,Partner,2243,SES9971
EVT00198,USR0166,Logout,11-08-23,Partner,2803,SES5538
EVT00199,USR0036,Logout,02-Jul-2023,Partner,2288,SES6751
EVT00200,USR0072,Session End,06/10/2024,Web,1964,SES5116
EVT00201,USR0184,Session Start,02/30/2024,API,3433,SES7120
EVT00202,USR0003,Password Reset,11/12/2024,Direct,952,SES8061
EVT00203,USR0053,Error,11-29-25,Web,117,SES4665
EVT00204,USR0055,Session End,15/06/2024,Mobile App,2231,SES4824
EVT00205,USR0188,Session End,05-10-24,Direct,394,SES8394
EVT00206,USR0132,Error,07/03/2023,Mobile App,459,SES9051
EVT00207,USR0050,Session End,20240805,Direct,3173,SES4471
EVT00208,USR0104,Form Submit,"December 13, 2025",Partner,,SES1307
EVT00209,USR0180,Session Start,03/30/2024,Partner,3561,SES5849
EVT00210,USR0020,Error,"November 14, 2025",Mobile App,1407,SES6512
EVT00211,USR0038,Purchase,10/08/2024,Direct,437,SES1801
EVT00212,USR0039,Session Start,06-02-24,Direct,,SES9825
EVT00213,USR0126,Session End,17-Dec-2024,Email,3402,SES4047
EVT00214,USR0184,Download,2024-10-08,Mobile App,2269,SES1611
EVT00215,USR0059,Logout,05-11-23,Mobile App,2472,SES3386
EVT00216,USR0119,Form Submit,Nov 24 2024,Mobile App,2116,SES9514
EVT00217,USR0015,Session End,"August 22, 2023",Direct,,SES2090
EVT00218,USR0138,Search,"June 25, 2025",Partner,2392,SES7464
EVT00219,USR0113,Search,12-20-24,Email,1636,SES9753
EVT00220,USR0084,Form Submit,20231225,Partner,1597,SES4350
EVT00221,USR0164,Session End,"September 13, 2024",Web,2317,SES8073
EVT00222,USR0064,Purchase,2025-03-21,Web,1548,SES8727
EVT00223,USR0199,Password Reset,Oct 11 2025,Partner,3553,SES5696
EVT00224,USR0142,Password Reset,20230819,API,3203,SES2250
EVT00225,USR0116,Download,2023-10-13,Mobile App,1349,SES8556
EVT00226,USR0019,Page View,20240514,Email,1536,SES7445
EVT00227,USR0124,Profile Update,"January 17, 2025",Web,,SES9790
EVT00228,USR0135,Form Submit,20230617,Direct,2374,SES2177
EVT00229,USR0093,Search,07/07/2024,Direct,,SES7145
EVT00230,USR0062,Form Submit,02/05/2023,Direct,,SES1081
EVT00231,USR0017,Password Reset,10-08-24,Partner,2170,SES5676
EVT00232,USR0134,Session Start,20241017,Partner,3220,SES7440
EVT00233,USR0157,Password Reset,20250222,Email,3096,SES8886
EVT00234,USR0158,Logout,09/06/2025,Mobile App,659,SES4729
EVT00235,USR0113,Page View,Jul 16 2025,Email,,SES7731
EVT00236,USR0029,Error,Jul 09 2023,Email,1488,SES4523
EVT00237,USR0174,Search,10-25-23,Direct,2441,SES7078
EVT00238,USR0038,Download,03-Jan-2024,Direct,205,SES6183
EVT00239,USR0080,Search,18-Jul-2024,API,3548,SES5056
EVT00240,USR0031,Password Reset,N/A,Email,2478,SES2330
EVT00241,USR0049,Purchase,2024-12-18,Email,79,SES1168
EVT00242,USR0083,Search,Apr 21 2025,Partner,366,SES8338
EVT00243,USR0009,Download,27/01/2025,Partner,1154,SES8430
EVT00244,USR0091,Purchase,23/05/2025,Mobile App,2996,SES2827
EVT00245,USR0166,Session End,"March 07, 2025",Mobile App,2169,SES2744
EVT00246,USR0034,Session Start,20230522,Email,1854,SES3238
EVT00247,USR0134,Download,04-Dec-2025,Partner,3228,SES5242
EVT00248,USR0076,Login,09/25/2023,Partner,,SES6852
EVT00249,USR0096,Session Start,08-Nov-2024,API,979,SES6326
EVT00250,USR0178,Logout,"January 11, 2023",Direct,2963,SES9458
EVT00251,USR0067,Logout,08-31-23,API,1975,SES8870
EVT00252,USR0144,Page View,22-Jan-2025,Email,2408,SES1171
EVT00253,USR0080,Session Start,2025-07-16,API,,SES2113
EVT00254,USR0146,Purchase,Dec 20 2025,API,,SES3167
EVT00255,USR0121,Page View,03-19-25,Partner,2023,SES1586
EVT00256,USR0136,Download,Jan 19 2024,Web,3408,SES9243
EVT00257,USR0115,Error,05/31/2023,Direct,2801,SES6583
EVT00258,USR0117,Profile Update,"November 05, 2024",Web,3410,SES7594
EVT00259,USR0150,Session Start,2023-02-29,Direct,76,SES6021
EVT00260,USR0109,Page View,2023-11-17T00:00:00,Partner,240,SES2843
EVT00261,USR0132,Password Reset,01/31/2023,Web,3304,SES2391
EVT00262,USR0147,Search,"January 24, 2025",Web,919,SES8937
EVT00263,USR0112,Purchase,Mar 11 2024,Email,621,SES4125
EVT00264,USR0184,Session Start,08-20-24,Email,3591,SES9269
EVT00265,USR0178,Logout,12-Jul-2023,Web,2879,SES3228
EVT00266,USR0099,Download,Aug 29 2024,Email,2816,SES4585
EVT00267,USR0183,Profile Update,"June 10, 2023",Direct,1987,SES7245
EVT00268,USR0139,Profile Update,08-31-24,Mobile App,709,SES7100
EVT00269,USR0112,Purchase,2024-08-25,API,1727,SES2050
EVT00270,USR0110,Session End,2024-06-30T00:00:00,Direct,163,SES4461
EVT00271,USR0007,Password Reset,03-16-23,Direct,1103,SES2083
EVT00272,USR0115,Logout,20250413,Partner,4,SES1863
EVT00273,USR0054,Logout,2025-08-04,Web,2521,SES7062
EVT00274,USR0148,Session Start,06-15-23,Web,2106,SES9723
EVT00275,USR0065,Password Reset,24-Sep-2024,Web,1334,SES7133
EVT00276,USR0135,Error,20240103,Mobile App,2184,SES2459
EVT00277,USR0085,Session End,05-20-25,API,580,SES1826
EVT00278,USR0094,Purchase,20240828,Web,2016,SES7431
EVT00279,USR0146,Page View,2024-05-01T00:00:00,Web,1210,SES4471
EVT00280,USR0073,Purchase,2024-10-01,Email,3079,SES9024
EVT00281,USR0089,Logout,20230614,API,2284,SES2678
EVT00282,USR0111,Session Start,12-21-24,Mobile App,3034,SES1228
EVT00283,USR0057,Purchase,2023-03-16,Mobile App,690,SES9854
EVT00284,USR0176,Profile Update,Feb 27 2024,Email,3145,SES4564
EVT00285,USR0189,Search,20231208,Email,1398,SES6721
EVT00286,USR0039,Download,03-24-25,API,2122,SES7424
EVT00287,USR0112,Password Reset,20230722,API,1930,SES1197
EVT00288,USR0085,Session End,20250816,API,2293,SES4357
EVT00289,USR0104,Password Reset,2025-06-06T00:00:00,API,,SES2648
EVT00290,USR0199,Profile Update,2025-02-14T00:00:00,API,,SES4250
EVT00291,USR0048,Logout,Jun 07 2025,API,1115,SES6264
EVT00292,USR0173,Profile Update,13/02/2024,API,2697,SES2428
EVT00293,USR0145,Form Submit,06-09-23,API,60,SES2947
EVT00294,USR0018,Password Reset,"March 07, 2023",Partner,1295,SES9380
EVT00295,USR0167,Error,08-Dec-2025,API,2374,SES1315
EVT00296,USR0110,Page View,09/01/2025,Web,377,SES8901
EVT00297,USR0133,Page View,"November 23, 2024",Web,1690,SES7869
EVT00298,USR0151,Session Start,2025-04-11T00:00:00,Partner,,SES3113
EVT00299,USR0034,Login,03/25/2023,Web,3560,SES3031
EVT00300,USR0104,Search,"September 14, 2024",Direct,1560,SES4944
EVT00301,USR0125,Logout,08-25-25,Mobile App,1367,SES8337
EVT00302,USR0048,Logout,Nov 07 2025,API,2465,SES9824
EVT00303,USR0017,Download,Mar 03 2024,Direct,1055,SES4135
EVT00304,USR0019,Download,05-13-24,Direct,3113,SES1219
EVT00305,USR0023,Search,2023-02-13T00:00:00,Web,1395,SES2061
EVT00306,USR0044,Session Start,not a date,Mobile App,2263,SES8023
EVT00307,USR0014,Logout,08/10/2023,Direct,,SES6590
EVT00308,USR0183,Login,Apr 18 2024,Web,892,SES2143
EVT00309,USR0001,Purchase,08/04/2024,Partner,3507,SES1896
EVT00310,USR0132,Session End,"November 20, 2024",Mobile App,2925,SES5534
EVT00311,USR0195,Page View,2024-03-03T00:00:00,Partner,2421,SES4740
EVT00312,USR0010,Login,17/01/2023,Web,2258,SES5061
EVT00313,USR0187,Login,20241030,Web,977,SES4933
EVT00314,USR0087,Search,2024-10-13T00:00:00,Mobile App,583,SES3932
EVT00315,USR0009,Session End,20241011,Mobile App,693,SES1021
EVT00316,USR0029,Session End,Nov 08 2023,Email,3499,SES1659
EVT00317,USR0072,Error,"April 03, 2023",Direct,1727,SES1289
EVT00318,USR0068,Profile Update,06-29-25,Email,2225,SES6206
EVT00319,USR0152,Session Start,02/28/2025,Web,3229,SES2739
EVT00320,USR0108,Session End,02/06/2024,Web,2671,SES9471
EVT00321,USR0011,Form Submit,10/06/2025,Mobile App,2696,SES8626
EVT00322,USR0187,Page View,not a date,API,,SES5402
EVT00323,USR0030,Session Start,2023-02-16,Partner,3099,SES1991
EVT00324,USR0059,Form Submit,20250202,API,1168,SES1117
EVT00325,USR0149,Profile Update,11/27/2024,Direct,2011,SES1632
EVT00326,USR0139,Login,20230612,Mobile App,1138,SES9395
EVT00327,USR0060,Login,20241005,Direct,3074,SES3047
EVT00328,USR0064,Password Reset,Mar 15 2023,Mobile App,2356,SES4077
EVT00329,USR0116,Form Submit,"May 05, 2025",Web,1532,SES5014
EVT00330,USR0113,Profile Update,20240304,Mobile App,3338,SES6203
EVT00331,USR0029,Error,09-29-24,Partner,3205,SES6823
EVT00332,USR0126,Session End,26/04/2025,Partner,3104,SES1276
EVT00333,USR0074,Session Start,2025-12-14,Partner,,SES5450
EVT00334,USR0021,Profile Update,not a date,Email,,SES7395
EVT00335,USR0060,Form Submit,16-May-2024,Web,1772,SES7043
EVT00336,USR0129,Session End,2023-12-30,Direct,3203,SES8640
EVT00337,USR0142,Session Start,"May 03, 2023",API,1690,SES6634
EVT00338,USR0190,Error,"August 02, 2023",Email,2944,SES4715
EVT00339,USR0121,Login,09/24/2023,Email,2459,SES2416
EVT00340,USR0107,Logout,25-Aug-2023,Mobile App,1511,SES8621
EVT00341,USR0197,Form Submit,20/05/2024,API,1916,SES2880
EVT00342,USR0146,Purchase,2023-01-11,Web,2920,SES2743
EVT00343,USR0054,Download,20230825,Direct,475,SES4504
EVT00344,USR0025,Form Submit,Nov 12 2024,Direct,,SES2308
EVT00345,USR0036,Purchase,29-Oct-2024,Partner,1525,SES8450
EVT00346,USR0061,Login,24/03/2025,Mobile App,,SES9473
EVT00347,USR0006,Search,20230217,Partner,,SES2174
EVT00348,USR0026,Logout,2023-07-15T00:00:00,API,2286,SES6917
EVT00349,USR0054,Purchase,"April 03, 2025",Web,2418,SES6930
EVT00350,USR0064,Page View,2023-09-17T00:00:00,Direct,2546,SES1268
EVT00351,USR0196,Purchase,"February 27, 2024",Partner,185,SES8643
EVT00352,USR0166,Session Start,Sep 27 2025,Email,738,SES2574
EVT00353,USR0153,Profile Update,01/14/2024,API,249,SES9999
EVT00354,USR0180,Login,26-May-2024,Web,3187,SES2185
EVT00355,USR0015,Logout,04-14-23,Direct,2128,SES1043
EVT00356,USR0059,Error,Sep 22 2023,Web,900,SES8883
EVT00357,USR0110,Error,20251203,Mobile App,3491,SES8792
EVT00358,USR0175,Download,07/06/2024,Partner,3211,SES9817
EVT00359,USR0079,Logout,Feb 03 2025,Partner,1735,SES8029
EVT00360,USR0091,Purchase,15-Dec-2024,Direct,2221,SES3127
EVT00361,USR0187,Download,Dec 03 2025,Web,380,SES4138
EVT00362,USR0122,Session Start,2023-12-03,Web,1759,SES1931
EVT00363,USR0030,Form Submit,09/23/2023,API,2553,SES3385
EVT00364,USR0081,Profile Update,20251105,Mobile App,,SES5147
EVT00365,USR0198,Purchase,02/30/2024,Mobile App,42,SES4944
EVT00366,USR0146,Profile Update,2025-01-07,API,410,SES3858
EVT00367,USR0063,Session End,12-03-23,Mobile App,,SES9808
EVT00368,USR0136,Logout,26/02/2025,API,2709,SES5612
EVT00369,USR0054,Password Reset,Apr 12 2024,Direct,416,SES2084
EVT00370,USR0092,Session Start,04-Sep-2023,Direct,1309,SES5031
EVT00371,USR0056,Page View,05/24/2023,Partner,2378,SES8463
EVT00372,USR0145,Logout,31/02/2023,Partner,,SES1361
EVT00373,USR0113,Purchase,20240427,API,1483,SES3567
EVT00374,USR0103,Session Start,01/10/2025,API,3323,SES3887
EVT00375,USR0036,Session End,15-Feb-2024,API,1795,SES7902
EVT00376,USR0019,Purchase,Jan 24 2023,API,,SES9283
EVT00377,USR0152,Login,07-20-24,API,2283,SES7253
EVT00378,USR0039,Session Start,25/09/2023,API,1288,SES3143
EVT00379,USR0095,Session Start,11/10/2023,Email,,SES2260
EVT00380,USR0060,Error,14/01/2025,Email,,SES9881
EVT00381,USR0018,Session Start,Jan 14 2025,Web,,SES6662
EVT00382,USR0180,Login,2024-11-20T00:00:00,Email,1936,SES7838
EVT00383,USR0037,Page View,May 23 2024,Mobile App,226,SES4260
EVT00384,USR0016,Download,2025-07-20T00:00:00,Mobile App,2311,SES9060
EVT00385,USR0106,Password Reset,26-Jan-2025,Web,685,SES2412
EVT00386,USR0144,Search,20241111,Partner,1020,SES2960
EVT00387,USR0042,Logout,2025-08-06T00:00:00,Mobile App,1219,SES5140
EVT00388,USR0054,Session Start,Aug 29 2023,Partner,882,SES3801
EVT00389,USR0145,Error,2024-10-02T00:00:00,Email,1789,SES4194
EVT00390,USR0099,Purchase,"September 09, 2024",Direct,3199,SES7944
EVT00391,USR0126,Profile Update,15-Oct-2023,Web,1923,SES5921
EVT00392,USR0096,Purchase,"November 22, 2025",API,654,SES4979
EVT00393,USR0114,Purchase,"September 28, 2025",Direct,1358,SES5223
EVT00394,USR0122,Login,"February 22, 2025",Web,3078,SES2967
EVT00395,USR0071,Password Reset,31-Dec-2024,API,1315,SES2844
EVT00396,USR0175,Search,27/08/2023,Web,343,SES8303
EVT00397,USR0119,Session End,01/07/2024,API,2632,SES6236
EVT00398,USR0157,Download,06/17/2025,Email,2790,SES4908
EVT00399,USR0134,Page View,2023-02-16,Email,2778,SES2746
EVT00400,USR0133,Form Submit,04-Feb-2025,Partner,793,SES1172
